Code,IconicityRating,Iconicity.Z.,Participant
A_01_003,1,-0.837958341,3A1
A_01_003,1,-0.805845438,17A1
A_01_003,4,0.108364715,20A1
A_01_003,1,-0.695673142,6A1
A_01_003,1,-0.956440216,29A1
A_01_003,1,-0.684261356,39A1
A_01_003,1,-1.147121103,8A1
A_01_003,3,-0.127255611,33A1
A_01_003,4,0.176064681,38A1
A_01_003,1,-0.924100875,31A1
A_01_003,4,-0.099033974,19A1
A_01_003,1,-1.096072295,4A1
A_01_003,1,-1.226081876,26A1
A_01_003,2,-0.836359491,7A1
A_01_003,2,-0.505412315,15A1
A_01_004,6,1.422609824,17A1
A_01_004,6,1.312217294,15A1
A_01_004,5,0.924107501,24A1
A_01_004,3,-0.127255611,33A1
A_01_004,2,-0.47388803,35A1
A_01_004,4,0.780284161,32A1
A_01_004,5,0.810230625,31A1
A_01_004,5,0.655497773,8A1
A_01_004,4,0.176064681,38A1
A_01_004,5,1.45656564,6A1
A_01_004,3,-0.313249345,34A1
A_01_004,6,1.129087799,21A1
A_01_004,4,0.491829066,18A1
A_01_004,5,0.752329446,10A1
A_01_004,4,0.108364715,20A1
A_01_004,3,-0.106242381,27A1
A_01_004,2,-0.683206872,23A1
A_01_004,1,-1.315051739,14A1
A_01_004,4,0.810211376,3A1
A_01_004,2,-0.527399405,28A1
A_01_004,4,0.586061062,2A1
A_01_004,2,-0.548304089,29A1
A_01_004,5,1.597313205,13A1
A_01_004,1,-0.69278973,5A1
A_01_004,2,-1.069566924,19A1
A_01_004,2,-0.290238039,1A1
A_01_004,1,-0.659789782,37A1
A_01_004,6,0.835217741,12A1
A_01_004,1,-0.684261356,39A1
A_01_004,3,-0.421125477,11A1
A_01_004,6,0.975560513,16A1
A_01_004,4,0.682799134,4A1
A_01_004,6,0.880147946,7A1
A_01_004,1,-0.721180741,30A1
A_01_004,2,-0.140563383,9A1
A_01_004,1,-0.741225742,25A1
A_01_004,5,0.62418138,36A1
A_01_004,6,1.135518941,22A1
A_01_004,4,0.284898693,26A1
A_01_005,1,-0.998714123,18A1
A_01_005,1,-0.695673142,6A1
A_01_005,1,-0.956440216,29A1
A_01_005,1,-0.829051921,32A1
A_01_005,1,-1.027134578,33A1
A_01_005,1,-0.967729241,35A1
A_01_005,NA,NA,9A1
A_01_005,1,-0.684261356,39A1
A_01_005,1,-0.762282224,24A1
A_01_005,2,-0.787966224,14A1
A_01_005,1,-0.659789782,37A1
A_01_005,1,-0.981421502,28A1
A_01_005,1,-0.69278973,5A1
A_01_005,1,-0.889024832,2A1
A_01_005,1,-1.265486351,7A1
A_01_005,2,-1.069566924,19A1
A_01_005,1,-0.780641792,13A1
A_01_005,1,-1.0983553,34A1
A_01_005,1,-1.237631139,38A1
A_01_005,1,-1.162042075,12A1
A_01_005,1,-0.924100875,31A1
A_01_005,1,-1.470529014,36A1
A_01_005,1,-1.096072295,4A1
A_01_005,1,-0.837958341,3A1
A_01_005,1,-1.226081876,26A1
A_01_005,1,-0.721180741,30A1
A_01_005,1,-0.864909357,1A1
A_01_005,1,-1.351569005,22A1
A_01_005,1,-0.741225742,25A1
A_01_005,1,-0.959819717,15A1
A_01_005,NA,NA,10A1
A_01_005,2,-1.153765493,20A1
A_01_005,1,-0.805845438,17A1
A_01_005,1,-1.147121103,8A1
A_01_005,1,-1.147417713,27A1
